Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KAOLACK,NIORO,NIORO,NIORO,"DAROU SALAM",644,755,3727,3735,7462
KAOLACK,NIORO,NIORO,NIORO,DIAMAGUENE,604,690,3221,3460,6681
KAOLACK,NIORO,NIORO,NIORO,"FASS HLM",539,600,2799,2549,5348
KAOLACK,NIORO,NIORO,NIORO,MEDINA,293,363,1733,1639,3372
KAOLACK,NIORO,NIORO,NIORO,"NOUROU LAYE",258,312,1411,1565,2976
KAOLACK,NIORO,NIORO,NIORO,THIERERE,251,310,1285,1367,2652
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"COLOMBA TOUCOULEUR",19,31,263,245,508
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,COLOUMBODOU,119,143,1485,1298,2783
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"DAROU KHOUDOSS",61,70,613,616,1229
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"H1 SANTHIE MAGAYE",1,5,32,26,58
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,DIALACOUNA,29,71,242,262,504
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,KAYEMOR,228,307,1563,1702,3265
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"H1 HAYNOU RAKHMATY",7,14,95,39,134
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"KEUR ALY DIANKO",41,62,389,417,806
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"KEUR AYIB TOURE",92,123,864,790,1654
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"H1 SANTHIE EL HADJI SOULEYE TOURE",12,14,105,106,211
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"KEUR BAKARY",235,382,1893,1845,3738
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"KEUR SAMBA DIAMA",27,162,293,278,571
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"H1 KEUR SOUKY",23,108,188,190,378
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"KEUR SAMBA DIE",58,90,541,554,1095
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"H1 TOUBA",16,21,174,152,326
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,NDIARGUENE,72,83,651,566,1217
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"H1 NDIOBENE",6,31,51,50,101
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"NDIBA KAYEMOR",6,9,102,63,165
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"H1 PEULGA",17,20,109,91,200
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"NDIMB BIRANE",25,37,217,269,486
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"NDIMB TABA",24,32,214,169,383
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"H1 NGOUYE",3,3,13,16,29
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"H2 NDIMB NDIANKO",15,20,152,134,286
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,PADAFF,86,107,767,741,1508
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"PASSY KAYEMOR",21,63,202,231,433
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"SANTHIE KOHEL",80,92,637,596,1233
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"SANTHIE PASSY",33,52,396,345,741
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,SONKORONG,122,167,1031,1063,2094
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"H1 NDIAYENE",29,56,199,200,399
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"H2 SAM",16,53,161,163,324
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"H3 LEONA",15,21,111,96,207
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"H4 NDAKHAR",58,67,409,392,801
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,SOTOKOYE,33,47,306,304,610
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"TENE PEUL",33,78,290,267,557
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"THYSSE KAYEMOR",92,123,894,1062,1956
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,"H2 KEUR DIANKHO",36,42,427,361,788
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,VELINGARA,13,27,231,163,394
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,NDIAGNENE,10,14,122,123,245
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,NGAYENE,27,67,302,200,502
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,THIEKENE,45,63,398,359,757
KAOLACK,NIORO,"MEDINA SABAKH",KAYEMOR,TOUCOULEURGA,22,29,266,264,530
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH",AINOUMANY,41,90,342,424,766
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH",CAMARA,32,39,250,257,507
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","DIAGLE OMAR",26,44,302,318,620
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","DIERY COW GUEYENE",51,67,482,493,975
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","DIERY COW SANTHIE",36,54,270,287,557
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH",DJIGUIMAR,110,144,889,836,1725
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","H1 SANTHIABA 1",32,45,260,321,581
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","H2 KEUR BABOU SENE 2",17,29,188,195,383
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH",DONGORO,16,20,151,102,253
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH",FALIFA,63,100,664,632,1296
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH",FOUTA,15,31,97,185,282
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","HAMDALLAYE THIAMENE",21,28,161,238,399
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR ARDO",11,17,123,122,245
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR AYIB GUEYE",832,1228,6115,5450,11565
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR BABOU FADY",26,31,194,263,457
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR BAKA (BASSINE)",35,40,323,367,690
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR BAMBA GUEYE",79,104,478,730,1208
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR BAMBA THIAM",20,20,127,152,279
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR BOUBOU YORO",7,9,97,96,193
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","H1 MEDINA KEUR ALPHA",12,15,145,112,257
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR KATIM DIAKHOU",37,44,328,430,758
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR KATIM DIAMA",72,107,757,730,1487
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR KATIM PEULH",7,17,76,43,119
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR LAHINE",41,51,220,249,469
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR MODA DIAW",7,9,46,55,101
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR NGATANE",110,119,935,850,1785
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR SADER (SANTHIE SADER)",51,57,370,334,704
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR SAKALA",7,8,40,46,86
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR SAMBA KOUTA",52,72,800,499,1299
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KEUR SETTE DIABOU",44,56,316,262,578
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH",KOHEL,73,115,1036,856,1892
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","H1 DAROU RAHMAAN",1,3,6,12,18
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KOUPAKH KEUR BIRANE",18,31,143,146,289
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","H1 KEUR BAKA YACINE",9,14,121,120,241
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","KOUPAKH KEUR GAMOU",11,25,125,153,278
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH",MBAPP,41,74,407,444,851
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH",MBOUMBOUNE,75,90,729,740,1469
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","MEDINA KEUR MOMAR AISSA TOURE",10,20,179,162,341
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","MEDINA SABAKH",528,797,3026,3188,6214
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH",NDIAGNENE,22,44,414,265,679
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH",NDIAHENE,45,68,531,563,1094
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH",NDIAWARA,46,64,454,426,880
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","NDIBA NDIAYENE",220,287,1802,1832,3634
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","NGAYENE 2",11,12,100,70,170
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","NGUER FRANÇAIS",23,25,146,188,334
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH",PAKALA,103,162,846,1007,1853
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","PAKANE KEUR DEMBA DJIDE",27,45,255,328,583
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","PAKANE KEUR GAGNY",56,104,688,672,1360
KAOLACK,NIORO,"MEDINA SABAKH","MEDINA SABAKH","PAKANE NDIAWNARY",31,36,322,334,656
