Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
MATAM,"RANEROU FERLO",RANEROU,RANEROU,NELBY,154,222,866,696,1562
MATAM,"RANEROU FERLO",RANEROU,RANEROU,RANEROU,264,370,1398,1234,2632
MATAM,"RANEROU FERLO",RANEROU,RANEROU,"BILLE FAFABE",8,9,27,40,67
MATAM,"RANEROU FERLO",RANEROU,RANEROU,"GOUREL SARA",34,72,205,182,387
MATAM,"RANEROU FERLO",VELINGARA,"LOUGRE THIOLY","BADAGOR DOUNDE",24,51,207,194,401
MATAM,"RANEROU FERLO",VELINGARA,"LOUGRE THIOLY","H1 BADAGOR I",36,76,312,276,588
MATAM,"RANEROU FERLO",VELINGARA,"LOUGRE THIOLY","H2 REDINGOR",15,32,147,134,281
MATAM,"RANEROU FERLO",VELINGARA,"LOUGRE THIOLY","BADAGOR II (MBOYLOCK)",26,42,209,178,387
MATAM,"RANEROU FERLO",VELINGARA,"LOUGRE THIOLY",DAYOUTE,18,45,164,163,327
MATAM,"RANEROU FERLO",VELINGARA,"LOUGRE THIOLY","H1 BOULY DAYOUTE",14,17,91,95,186
MATAM,"RANEROU FERLO",VELINGARA,"LOUGRE THIOLY","GALLET I",17,31,97,102,199
MATAM,"RANEROU FERLO",VELINGARA,"LOUGRE THIOLY","H1 OURO THILLY",3,5,11,18,29
MATAM,"RANEROU FERLO",VELINGARA,"LOUGRE THIOLY","H2 DOULO BANDJO",5,8,17,21,38
MATAM,"RANEROU FERLO",VELINGARA,"LOUGRE THIOLY","H2 THIENEL",5,11,35,43,78
MATAM,"RANEROU FERLO",VELINGARA,"LOUGRE THIOLY","GALLET II",15,16,50,49,99
MATAM,"RANEROU FERLO",VELINGARA,"LOUGRE THIOLY","H1 OURO NDIOBO",10,15,47,43,90
MATAM,"RANEROU FERLO",VELINGARA,"LOUGRE THIOLY","GUIRDE LATHIE",42,61,224,213,437
MATAM,"RANEROU FERLO",VELINGARA,"LOUGRE THIOLY","H3 WENDOU DIABE",14,16,71,65,136
MATAM,"RANEROU FERLO",VELINGARA,"LOUGRE THIOLY","KOSSAS DIAOBE",16,32,113,112,225
MATAM,"RANEROU FERLO",VELINGARA,"LOUGRE THIOLY","KOSSAS NAMARY",28,99,220,214,434
